FullID,Population,IndID,Plant,AB10Freq,ab10round,Species,Region,Group,Altitude,X1C_GS,GS_bp,Total_Reads,Total_corr,X180knobreads,X180knob.,X180knobbp,TR1total,TR1.,TR1bp,CentCreads,CentC.,CentCbp,mtreads,mt.,mtbp,TotalTereads,TotalTe.,TotalTebp,Gsnoknob,GSno180,GSnoTR1
da3,Da,3,1,NA,NA,mexicana,MH,1,2408,6.38,6239640000,331512,320069,41394,0.124864258,779108020.7,1256,0.003788701,23640133.21,1357,0.004093366,25541131.18,11443,0.034517604,215377423.8,214472,0.64695094,4036740963,5436891846,5460531979,6215999867
da5,Da,5,1,NA,NA,mexicana,MH,1,2408,6.51,6366780000,289816,279064,28462,0.098207138,625263244.1,1759,0.006069368,38642331.76,1248,0.00430618,27416503.71,10752,0.037099401,236203724.3,188545,0.650567947,4142022991,5702874424,5741516756,6328137668
da8,Da,8,1,NA,NA,mexicana,MH,1,2408,6.17,6034260000,295445,284415,38897,0.131655638,794444350.8,1131,0.003828124,23099893.58,1257,0.004254599,25673356.53,11030,0.037333514,225280129.3,189571,0.641645653,3871856699,5216715756,5239815649,6011160106
da9,Da,9,1,NA,NA,mexicana,MH,1,2408,6.55,6405900000,207428,198871,17328,0.08353742,535132360.1,783,0.003774804,24181015.58,696,0.003355381,21494236.07,8557,0.041252868,264261750.1,134284,0.647376439,4147028731,5846586624,5870767640,6381718984
fp12,Fp,12,1,NA,NA,mexicana,MH,1,2507,6.55,6405900000,319828,309291,31237,0.097668122,625652220.3,1278,0.003995898,25597321.69,1405,0.004392986,28141030.49,10537,0.032945833,211047714.1,213514,0.66759008,4276515291,5754650458,5780247780,6380302678
fp1,Fp,1,1,NA,NA,mexicana,MH,1,2507,6.51,6366780000,220751,213749,20390,0.092366512,588077264.4,405,0.001834646,11680789.21,748,0.003388433,21573408.23,7002,0.031718996,201947866.9,145500,0.659113662,4196431681,5767021946,5778702736,6355099211
fp2,Fp,2,1,NA,NA,mexicana,MH,1,2507,6.26,6122280000,206818,202147,19436,0.093976346,575349505.7,385,0.00186154,11396869.71,797,0.00385363,23593000.42,4671,0.022585075,138272151.7,140214,0.677958398,4150651142,5535533625,5546930494,6110883130
fp3,Fp,3,1,NA,NA,mexicana,MH,1,2507,6.3,6161400000,172648,167890,15127,0.08761758,539846959.1,564,0.003266762,20127830.04,670,0.003880728,23910720.08,4758,0.027558964,169801800.2,114784,0.664844076,4096370289,5601425211,5621553041,6141272170
fp4,Fp,4,1,NA,NA,mexicana,MH,1,2507,6.43,6288540000,245769,236547,8048,0.032746197,205925767.4,726,0.002953993,18576305.56,934,0.003800317,23898442.68,9222,0.03752304,235965137.5,155236,0.63163377,3972054228,6064037927,6082614233,6269963694
fp5,Fp,5,1,NA,NA,mexicana,MH,1,2507,6.3,6161400000,207348,201959,26099,0.125870517,775538604.7,858,0.004137971,25495694.2,903,0.004354997,26832880.95,5389,0.025990123,160135543.1,136450,0.658072419,4054647404,5360365701,5385861395,6135904306
fp8,Fp,8,1,NA,NA,mexicana,MH,1,2507,6.68,6533040000,254576,248274,36841,0.144715134,945429760.2,687,0.002698605,17630092.7,1285,0.005047609,32976228.71,6302,0.024754887,161724664.1,167562,0.658200302,4300048899,5569980147,5587610240,6515409907
fp9,Fp,9,1,NA,NA,mexicana,MH,1,2507,6.13,5995140000,346553,334475,48966,0.141294405,847079740.3,988,0.002850935,17091753.12,1372,0.00395899,23734701.71,12078,0.034851812,208941492.1,222285,0.641417042,3845384962,5130968507,5148060260,5978048247
fpE,Fp,E,1,NA,NA,mexicana,MH,1,2507,6.05,5916900000,373933,364032,56908,0.152187691,900479351.1,1571,0.004201287,24858597.4,1583,0.004233379,25048478.47,9901,0.026478005,156667710.3,242388,0.64821238,3835407833,4991562051,5016420649,5892041403
mc10,Mc,10,1,NA,NA,mexicana,MH,1,2491.5,6.17,6034260000,253444,246022,28334,0.1117959,674605525.6,1432,0.005650163,34094554.69,1024,0.00404034,24380463.69,7422,0.029284576,176710743.7,169467,0.668656587,4034847696,5325559920,5359654474,6000165445
mc11,Mc,11,1,NA,NA,mexicana,MH,1,2491.5,6.26,6122280000,258228,249000,22459,0.086973527,532476286.5,375,0.001452205,8890805.8,903,0.00349691,21409060.37,9228,0.035735861,218784949.1,172419,0.667700637,4087850254,5580912908,5589803713,6113389194
mc12,Mc,12,1,NA,NA,mexicana,MH,1,2491.5,6.64,6493920000,154891,149816,20927,0.135107915,877379988.8,569,0.003673551,23855746.82,603,0.00389306,25281222.02,5075,0.032764977,212773137.2,102010,0.658592171,4276844873,5592684264,5616540011,6470064253
mc1,Mc,1,1,NA,NA,mexicana,MH,1,2491.5,6.34,6200520000,529635,510079,34640,0.065403533,405535912.1,1910,0.003606257,22360669.52,2506,0.00473156,29338134.98,19556,0.036923542,228945158.7,341461,0.644710036,3997537473,5772623418,5794984088,6178159330
mc2,Mc,2,1,NA,NA,mexicana,MH,1,2491.5,6.05,5916900000,209788,203591,23226,0.110711766,655070449.2,1731,0.008251187,48821447.84,765,0.003646538,21576203.12,6197,0.029539344,174781347.4,139933,0.667020993,3946696511,5213008103,5261829551,5868078552
mc3,Mc,3,1,NA,NA,mexicana,MH,1,2491.5,6.26,6122280000,231023,222247,30497,0.132008501,808193007.4,1062,0.004596945,28143783.78,1022,0.004423802,27083754.26,8776,0.03798756,232570476.9,147237,0.637326154,3901889164,5285943209,5314086993,6094136216
mc5,Mc,5,1,NA,NA,mexicana,MH,1,2491.5,6.26,6122280000,237896,231082,34082,0.143264284,877104057.9,848,0.003564583,21823374.25,1041,0.004375862,26790250.7,6814,0.028642768,175359047.3,155510,0.653689007,4002067134,5223352568,5245175942,6100456626
mc6,Mc,6,1,NA,NA,mexicana,MH,1,2491.5,6.38,6239640000,282065,274191,41378,0.146696683,915334493.5,1057,0.003747363,23382197.29,1121,0.003974261,24797959.48,7874,0.027915551,174182991,184226,0.653133143,4075315685,5300923309,5324305506,6216257803
mc9,Mc,9,1,NA,NA,mexicana,MH,1,2491.5,6.17,6034260000,233942,227864,26646,0.113900027,687302373.9,348,0.001487548,8976252.575,879,0.003757342,22672775.9,6078,0.025980799,156774894.1,136271,0.582499081,3514950904,5337981374,5346957626,6025283747
mt10,Mt,10,1,NA,NA,mexicana,MH,1,2353,6.51,6366780000,238710,231210,12223,0.05120439,326007087.8,909,0.003807968,24244493.4,1172,0.004909723,31259126.81,7500,0.031418876,200037074.3,158553,0.664207616,4228863765,6016528419,6040772912,6342535507
mt11,Mt,11,1,NA,NA,mexicana,MH,1,2353,6.43,6288540000,280327,274005,32001,0.114155968,717874370.1,600,0.002140358,13459723.82,1032,0.003681415,23150724.97,6322,0.022552234,141820623.3,163389,0.582851456,3665284693,5557205906,5570665630,6275080276
mt12,Mt,12,1,NA,NA,mexicana,MH,1,2353,6.43,6288540000,299379,291059,41203,0.137628224,865480590.2,810,0.002705601,17014277.55,1511,0.005047114,31738979.49,8320,0.02779086,174763937.4,196411,0.65606138,4125668233,5406045132,5423059410,6271525722
mt1,Mt,1,1,NA,NA,mexicana,MH,1,2353,6.47,6327660000,264301,256004,30113,0.113934491,720938723.6,1230,0.004653785,29447568.49,1388,0.005251588,33230264.28,8297,0.031392238,198639411.2,173956,0.658173825,4164700183,5577273708,5606721276,6298212432
mt4,Mt,4,1,NA,NA,mexicana,MH,1,2353,6.34,6200520000,263483,252727,21919,0.083189428,515817710.7,1000,0.003795311,23532903.45,1034,0.003924352,24333022.17,10756,0.040822368,253119909.5,172426,0.654410341,4057684410,5661169386,5684702289,6176987097
mt5,Mt,5,1,NA,NA,mexicana,MH,1,2353,6.51,6366780000,202458,195865,20422,0.100870304,642219033.9,409,0.002020172,12861991.23,808,0.003990951,25409508.34,6593,0.032564779,207332782.8,131671,0.65036205,4140712095,5711698975,5724560966,6353918009
mt7,Mt,7,1,NA,NA,mexicana,MH,1,2353,6.26,6122280000,173168,166001,18705,0.108016493,661307212.6,597,0.003447519,21106677.68,610,0.003522591,21566287.07,7167,0.041387554,253386195.8,111924,0.646331886,3957024778,5439866110,5460972787,6101173322
mt8,Mt,8,1,NA,NA,mexicana,MH,1,2353,6.38,6239640000,159935,153707,16939,0.105911777,660851358.1,534,0.003338856,20833262.01,615,0.003845312,23993363.55,6228,0.03894082,242976696.3,103254,0.645599775,4028310180,5557955380,5578788642,6218806738
mt9,Mt,9,1,NA,NA,mexicana,MH,1,2353,6.43,6288540000,308474,300529,22637,0.073383818,461477077.4,1465,0.004749185,29865437.93,1133,0.003672919,23097297.73,7945,0.025755817,161966487.6,203889,0.660960081,4156473907,5797197485,5827062923,6258674562
tc12,Tc,12,1,NA,NA,mexicana,MH,1,2776,6.3,6161400000,269284,262309,35111,0.130386506,803363420.8,546,0.002027599,12492849.19,1169,0.004341142,26747510.44,6975,0.025902022,159592716.2,178850,0.664168684,4092208932,5345543730,5358036579,6148907151
tc1,Tc,1,1,NA,NA,mexicana,MH,1,2776,6.09,5956020000,270913,260246,34970,0.12908203,768815152.5,1159,0.004278126,25480605.14,1196,0.004414701,26294049.82,10667,0.039374264,234513904.2,171349,0.632487182,3767106307,5161724242,5187204848,5930539395
tc2,Tc,2,1,NA,NA,mexicana,MH,1,2776,6.13,5995140000,272237,264608,35197,0.129288084,775100161.2,597,0.002192942,13146995.38,1068,0.003923052,23519248.01,7629,0.028023377,168004066.5,181892,0.668138424,4005583388,5206892843,5220039839,5981993005
tc3,Tc,3,1,NA,NA,mexicana,MH,1,2776,6.22,6083160000,235303,228093,31194,0.132569496,806441452.3,883,0.003752608,22827716.94,975,0.004143594,25206142.72,7210,0.030641343,186396193.8,155642,0.66145353,4023727656,5253890831,5276718548,6060332283
tc4,Tc,4,1,NA,NA,mexicana,MH,1,2776,5.92,5789760000,204052,198341,24095,0.118082646,683670178.2,553,0.002710094,15690790.97,875,0.004288123,24827200.91,5711,0.027987964,162043593.6,134977,0.661483347,3829829825,5090399031,5106089822,5774069209
tc5,Tc,5,1,NA,NA,mexicana,MH,1,2776,6.34,6200520000,170986,165412,21012,0.122887254,761964875.7,560,0.003275122,20307459.09,666,0.003895056,24151370.99,5574,0.03259916,202131744.6,111866,0.654240698,4056632533,5418247665,5438555124,6180212541
tc7,Tc,7,1,NA,NA,mexicana,MH,1,2776,6.13,5995140000,263802,254939,14395,0.054567441,327139446.6,933,0.003536743,21203272.23,1237,0.004689123,28111948.28,8863,0.033597168,201419723.2,175098,0.663747811,3979261051,5646797281,5668000553,5973936728
tc8,Tc,8,1,NA,NA,mexicana,MH,1,2776,6.26,6122280000,251943,246030,23660,0.09391013,574944113.5,935,0.003711157,22720741.6,1159,0.004600247,28163999.48,5913,0.023469594,143687427.9,170241,0.675712364,4136900289,5524615145,5547335886,6099559258
tcE,Tc,E/1,1,NA,NA,mexicana,MH,1,2776,5.92,5789760000,343971,331786,13676,0.039759166,230196027.5,1171,0.003404357,19710408.61,1614,0.004692256,27167036.29,12185,0.035424498,205099341.5,227131,0.660320201,3823095489,5539853564,5559563973,5770049591
tx10,Tx,10,1,NA,NA,mexicana,MH,1,2253,6.3,6161400000,289552,278962,28187,0.097346936,599793411.2,1181,0.004078715,25130592.78,1254,0.004330828,26683965.57,10590,0.036573742,225345450.9,186491,0.644067387,3968356797,5536475996,5561606589,6136269407
tx11,Tx,11,1,NA,NA,mexicana,MH,1,2253,6.72,6572160000,189645,183448,23409,0.123435893,811240441,570,0.003005616,19753387.65,765,0.004033853,26511125.52,6197,0.032676844,214757444.3,123929,0.653478868,4294767680,5741166171,5760919559,6552406612
tx2,Tx,2,1,NA,NA,mexicana,MH,1,2253,6.64,6493920000,272887,265013,36820,0.134927644,876209326.2,825,0.003023229,19632609.83,1341,0.004914122,31911914.9,7874,0.028854434,187378387.7,179882,0.659181273,4280670451,5598078064,5617710674,6474287390
tx3,Tx,3,1,NA,NA,mexicana,MH,1,2253,6.47,6327660000,299223,289835,36317,0.121371018,767994533.2,449,0.001500553,9494989.824,1419,0.004742283,30007551.36,9388,0.031374594,198527760.5,191051,0.638490357,4040149890,5550170477,5559665467,6318165010
tx4,Tx,4,1,NA,NA,mexicana,MH,1,2253,6.38,6239640000,302896,295584,30622,0.101097406,630811420.7,1784,0.00588981,36750296.34,1327,0.004381042,27336122.89,7312,0.024140299,150626775.1,183888,0.607099466,3788082115,5572078283,5608828579,6202889704
tx7,Tx,7,1,NA,NA,mexicana,MH,1,2253,6.38,6239640000,286699,275670,33613,0.117241427,731544300.2,1738,0.006062107,37825365,1312,0.004576228,28554015.47,11029,0.038468917,240032192.5,185617,0.647428139,4039718513,5470270335,5508095700,6201814635
tx8,Tx,8,1,NA,NA,mexicana,MH,1,2253,6.38,6239640000,290006,282422,39473,0.136110977,849283496.6,1577,0.005437819,33930030,1326,0.004572319,28529625.73,7584,0.026151183,163173968,195866,0.675386026,4214165666,5356426473,5390356503,6205709970
tx9,Tx,9,1,NA,NA,mexicana,MH,1,2253,6.3,6161400000,299415,290531,39830,0.133026067,819626812.3,1040,0.00347344,21401252.44,1340,0.004475394,27574690.65,8884,0.029671192,182816083.4,196598,0.65660705,4045618680,5320371935,5341773188,6139998748
